removed_code,removed_name,removed_state,sd_pc1,mean_absolute_risk_shift,max_absolute_risk_shift,max_rank_shift
4201406,Araranguá,SC,2.245682695460889,4.461721269041156e-05,0.00022835358602035782,1
2412559,São Miguel do Gostoso,RN,2.2485208301567026,4.322228834718819e-05,0.00021949711778707082,1
2703601,Japaratinga,AL,2.2485064427894863,4.27754946979016e-05,0.0002172287687592922,1
2204659,Ilha Grande,PI,2.248416767823943,3.996441266736843e-05,0.00020308993888562554,1
3205002,Serra,ES,2.2458461373726477,3.964751354320307e-05,0.00020254194568769535,1
2302057,Barroquinha,CE,2.2458641095690197,3.936806069857838e-05,0.00019970383415440773,1
3520301,Iguape,SP,2.248350337532089,3.762260949734636e-05,0.00019261554356669874,1
4301057,Arroio do Sal,RS,2.248300914842909,3.608902642016897e-05,0.0001848225480994281,1
4212254,Passo de Torres,SC,2.2482810955909285,3.546636755708799e-05,0.0001816973724960702,1
3302403,Macaé,RJ,2.2459863524248465,3.5185551271517336e-05,0.00018040045492495604,1
2403251,Parnamirim,RN,2.2482447999399837,3.456468908041745e-05,0.00017597403781699494,1
2103109,Cedral,MA,2.2460541788360286,3.3396278893555856e-05,0.00016969059757526717,1
3520426,Ilha Comprida,SP,2.24605542045306,3.306551825956169e-05,0.00016949454912135176,1
4216206,São Francisco do Sul,SC,2.246059879270464,3.294319828909475e-05,0.00016879051339502293,1
3522109,Itanhaém,SP,2.2460653155598944,3.275251200259185e-05,0.0001679321399390421,1
4206009,Governador Celso Ramos,SC,2.2460936739521977,3.19022670884591e-05,0.00016345448246818384,1
3302007,Itaguaí,RJ,2.248139360353043,3.116033519961802e-05,0.0001593469225967814,1
1506112,Quatipuru,PA,2.246148443300131,3.0478796011549338e-05,0.0001548068764540833,1
2410256,Porto do Mangue,RN,2.2481104732931203,3.0476815915962442e-05,0.00015479144164909364,1
4220000,Balneário Rincão,SC,2.24615222426245,3.007052605760227e-05,0.00015420990581754834,1
