grid_lat,grid_lon,thr_hs_abs,thr_zos_abs,zos_mean,mhws_m,n_hs_episodes,n_zos_episodes,n_candidate_events,n_rejected_by_mhws,compound_count_total,compound_count_annual_mean,mean_overlap_duration,p95_overlap_duration,max_overlap_duration,mean_full_criterion_duration,p95_full_criterion_duration,mean_compound_intensity_norm,p95_compound_intensity_norm,max_compound_intensity_norm,mean_integrated_severity,p95_integrated_severity,max_integrated_severity
-29.8,-49.8,2.43,0.279454,0.100544,0.145398,548,555,199,0,199,6.03,1.57,3.0,6,1.57,3.0,0.4291,0.7821,0.9179,0.6696,1.6502,3.7275
-29.8,-49.6,2.74,0.250035,0.096261,0.146764,567,546,230,0,230,6.97,1.71,3.0,6,1.71,3.0,0.4284,0.7858,0.9805,0.7212,1.7889,3.7896
-29.6,-49.8,2.14,0.299768,0.100793,0.156548,513,567,172,0,172,5.21,1.48,3.0,6,1.48,3.0,0.4108,0.6939,0.8688,0.6029,1.3761,3.4486
-29.6,-49.6,2.58,0.267119,0.09474,0.158922,562,554,216,0,216,6.55,1.65,3.0,6,1.65,3.0,0.4295,0.784,0.9249,0.7014,1.6826,3.8389
-29.6,-49.4,2.83,0.240375,0.093312,0.160749,557,541,234,0,234,7.09,1.74,4.0,6,1.74,4.0,0.4264,0.7685,0.9656,0.7269,1.8265,3.8047
-29.4,-49.6,2.348,0.290769,0.096182,0.170784,525,564,198,0,198,6.0,1.58,3.0,6,1.58,3.0,0.4157,0.764,0.9157,0.6545,1.6045,3.873
-29.4,-49.4,2.66,0.257661,0.090965,0.173336,557,546,232,0,232,7.03,1.7,3.0,6,1.7,3.0,0.4144,0.7792,0.9116,0.6947,1.6423,3.8648
-29.4,-49.2,2.86,0.231666,0.0926,0.174937,562,545,249,0,249,7.55,1.78,4.0,6,1.78,4.0,0.4084,0.7281,0.9493,0.7073,1.7353,3.7979
-29.2,-49.4,2.47,0.279629,0.090743,0.185864,540,557,221,0,221,6.7,1.66,3.0,6,1.66,3.0,0.4128,0.7591,0.9071,0.6736,1.6316,3.9274
-29.2,-49.2,2.7,0.247735,0.087951,0.187007,558,544,250,0,250,7.58,1.74,4.0,6,1.74,4.0,0.4125,0.7649,0.9334,0.6989,1.63,3.8967
-29.2,-49.0,2.9,0.224543,0.095278,0.188107,562,541,255,0,255,7.73,1.78,4.0,6,1.78,4.0,0.4012,0.7252,0.9283,0.6892,1.589,3.7714
-29.0,-49.4,2.12,0.310311,0.092442,0.195021,507,578,202,0,202,6.12,1.5,3.0,6,1.5,3.0,0.4006,0.7079,0.8937,0.6002,1.2948,3.7636
-29.0,-49.2,2.48,0.271116,0.085944,0.196998,546,547,249,0,249,7.55,1.71,3.0,6,1.71,3.0,0.4079,0.7533,0.9008,0.679,1.5968,3.9103
-29.0,-49.0,2.72,0.239875,0.088502,0.198786,546,546,260,0,260,7.88,1.77,4.0,6,1.77,4.0,0.4046,0.7466,0.9463,0.6934,1.5999,3.8815
-29.0,-48.8,2.92,0.218683,0.097313,0.200615,555,546,261,1,260,7.88,1.8,4.0,6,1.8,4.0,0.3939,0.7117,0.903,0.6796,1.5606,3.7482
-29.0,-48.6,3.06,0.203926,0.105334,0.201984,561,548,264,1,263,7.97,1.77,3.0,7,1.77,3.0,0.3751,0.6765,0.8159,0.6406,1.5309,3.6145
-28.8,-49.0,2.468,0.272091,0.083165,0.207608,529,546,261,0,261,7.91,1.75,4.0,6,1.75,4.0,0.4085,0.7486,0.9017,0.6931,1.6558,4.0057
-28.8,-48.8,2.74,0.239449,0.087761,0.211068,551,544,269,0,269,8.15,1.76,4.0,6,1.76,4.0,0.4023,0.7341,0.9324,0.688,1.5652,3.8646
-28.8,-48.6,2.96,0.215826,0.097997,0.213491,557,557,274,1,273,8.27,1.77,4.0,6,1.77,4.0,0.382,0.7003,0.8716,0.6486,1.4923,3.6885
-28.8,-48.4,3.08,0.200776,0.107444,0.214358,555,545,258,4,254,7.7,1.8,3.0,7,1.78,3.0,0.3772,0.6595,0.7765,0.6398,1.5099,3.5561
-28.6,-48.8,2.45,0.279791,0.083504,0.221101,532,555,278,0,278,8.43,1.78,4.0,6,1.78,4.0,0.4102,0.7604,0.8976,0.6995,1.7059,3.9963
-28.6,-48.6,2.71,0.236073,0.091288,0.22613,555,549,266,1,265,8.03,1.78,4.0,6,1.78,4.0,0.3824,0.7102,0.8705,0.6564,1.507,3.7498
-28.6,-48.4,2.95,0.212027,0.102172,0.227414,553,562,270,3,267,8.09,1.78,4.0,7,1.77,4.0,0.3676,0.6718,0.8238,0.6193,1.4427,3.5984
-28.4,-48.6,2.34,0.256445,0.088191,0.240668,550,555,249,1,248,7.52,1.65,3.0,6,1.65,3.0,0.3465,0.6948,0.8522,0.5585,1.3946,3.4967
-28.4,-48.4,2.81,0.224089,0.098764,0.242358,556,556,274,3,271,8.21,1.76,4.0,6,1.75,4.0,0.3555,0.6647,0.8184,0.5928,1.3882,3.5825
-28.2,-48.6,2.14,0.271338,0.087313,0.257131,566,566,203,0,203,6.15,1.47,3.0,6,1.47,3.0,0.3346,0.5965,0.8162,0.478,1.2333,2.9701
-28.2,-48.4,2.58,0.235924,0.096169,0.258333,568,556,262,3,259,7.85,1.68,3.0,6,1.67,3.0,0.3375,0.6855,0.8265,0.538,1.2552,3.4738
-28.2,-48.2,2.87,0.213064,0.104498,0.258062,564,575,284,13,271,8.21,1.73,3.5,6,1.69,3.5,0.3456,0.6436,0.7832,0.5589,1.3218,3.4939
-28.0,-48.4,2.46,0.247908,0.09408,0.274775,560,560,246,3,243,7.36,1.6,3.0,6,1.59,3.0,0.326,0.6363,0.8484,0.5025,1.2296,3.4129
-28.0,-48.2,2.78,0.220515,0.103058,0.274578,567,567,282,11,271,8.21,1.67,3.0,6,1.65,3.0,0.3332,0.6604,0.8063,0.5333,1.2777,3.482
-27.8,-48.4,2.23,0.257979,0.092964,0.291929,563,563,230,3,227,6.88,1.48,3.0,6,1.46,3.0,0.3024,0.5931,0.7751,0.4353,1.0615,3.0116
-27.8,-48.2,2.64,0.227608,0.101687,0.292104,578,568,278,11,267,8.09,1.61,3.0,7,1.58,3.0,0.3195,0.6434,0.826,0.4923,1.2482,3.407
-27.6,-48.4,1.9,0.269996,0.093046,0.311195,560,577,217,4,213,6.46,1.35,2.0,6,1.35,2.0,0.2752,0.5311,0.7922,0.3673,0.9142,2.5317
-27.6,-48.2,2.55,0.23548,0.10046,0.312486,569,574,264,13,251,7.61,1.58,3.0,7,1.53,3.0,0.3103,0.6199,0.8446,0.4616,1.2597,3.3796
-27.6,-48.0,2.81,0.210822,0.104667,0.308608,572,568,283,32,251,7.61,1.63,3.0,6,1.56,3.0,0.3208,0.6399,0.8037,0.4926,1.1573,3.4259
-27.4,-48.4,1.5,0.272949,0.096727,0.353181,602,576,181,9,172,5.21,1.27,2.0,4,1.27,2.0,0.241,0.4638,0.6213,0.3016,0.7153,1.361
-27.4,-48.2,2.5,0.242918,0.101803,0.338541,576,582,250,17,233,7.06,1.49,3.0,6,1.44,3.0,0.301,0.608,0.7555,0.4309,1.1474,3.0506
-27.4,-48.0,2.77,0.21435,0.102672,0.33042,583,577,291,36,255,7.73,1.58,3.0,6,1.5,3.0,0.3097,0.6371,0.8164,0.4579,1.1537,3.3666
-27.2,-48.4,1.64,0.273394,0.097551,0.380259,597,582,157,10,147,4.46,1.23,2.0,3,1.23,2.0,0.2529,0.4617,0.6212,0.2999,0.6952,1.118
-27.2,-48.2,2.29,0.247106,0.103762,0.367154,580,582,229,22,207,6.27,1.41,2.7,6,1.34,2.0,0.281,0.5579,0.7294,0.3788,0.937,2.4216
-27.2,-48.0,2.68,0.220099,0.102155,0.354769,581,580,284,43,241,7.3,1.56,3.0,7,1.49,3.0,0.3125,0.6406,0.8266,0.4528,1.1415,3.5561
-27.0,-48.4,1.82,0.269343,0.104245,0.407824,543,588,139,12,127,3.85,1.2,2.0,3,1.18,2.0,0.2591,0.47,0.646,0.2975,0.7259,1.2235
-27.0,-48.2,2.33,0.249826,0.104683,0.394841,584,583,221,26,195,5.91,1.4,2.0,6,1.34,2.0,0.2913,0.5808,0.739,0.3889,1.005,2.2134
-26.8,-48.4,1.93,0.26993,0.104052,0.432975,568,594,177,16,161,4.88,1.28,2.0,4,1.25,2.0,0.2748,0.5,0.7132,0.332,0.8444,1.4365
-26.8,-48.2,2.32,0.253116,0.104442,0.421535,580,584,237,28,209,6.33,1.42,2.6,6,1.35,2.0,0.2936,0.5847,0.7724,0.3945,0.9893,2.3216
-26.6,-48.6,1.69,0.29291,0.104919,0.464734,565,613,162,11,151,4.58,1.21,2.0,3,1.19,2.0,0.2802,0.4944,0.7131,0.3285,0.7818,1.3048
-26.6,-48.4,1.94,0.272845,0.103449,0.457832,570,595,200,23,177,5.36,1.27,2.0,4,1.24,2.0,0.2767,0.5234,0.7383,0.3412,0.8915,1.5822
-26.6,-48.2,2.29,0.255433,0.103524,0.447226,588,588,249,32,217,6.58,1.38,2.0,6,1.33,2.0,0.2949,0.6005,0.7919,0.3928,0.9771,2.3386
-26.4,-48.4,1.63,0.279368,0.103151,0.485014,598,601,212,25,187,5.67,1.31,2.0,4,1.28,2.0,0.2831,0.5163,0.7121,0.3581,0.8874,1.5252
-26.4,-48.2,2.24,0.260656,0.102609,0.474562,573,594,246,37,209,6.33,1.4,2.6,5,1.35,2.0,0.3093,0.6058,0.7913,0.4171,1.1469,2.1545
-26.2,-48.4,1.34,0.286512,0.103907,0.522567,592,614,201,22,179,5.42,1.28,2.0,4,1.26,2.0,0.2887,0.4842,0.6793,0.3544,0.8297,1.4274
-26.2,-48.2,2.0,0.269416,0.102032,0.504855,590,597,252,40,212,6.42,1.42,3.0,5,1.36,2.45,0.3125,0.5906,0.759,0.4211,1.0928,2.1323
-26.0,-48.4,1.26,0.295223,0.103868,0.556332,609,624,199,23,176,5.33,1.27,2.0,4,1.23,2.0,0.2978,0.5438,0.7573,0.3622,0.8716,1.4859
-26.0,-48.2,1.85,0.279148,0.101391,0.536767,595,599,242,33,209,6.33,1.38,3.0,5,1.34,3.0,0.3178,0.5747,0.7313,0.4202,1.0594,1.7743
-25.8,-48.2,1.8,0.28848,0.101785,0.567931,623,613,256,32,224,6.79,1.33,2.0,4,1.29,2.0,0.3184,0.574,0.736,0.4162,1.053,1.828
-25.8,-48.0,2.15,0.271432,0.101349,0.544411,601,593,278,40,238,7.21,1.46,3.0,6,1.38,2.15,0.341,0.6318,0.8223,0.4712,1.2289,2.3554
-25.6,-48.4,1.33,0.313349,0.104679,0.613027,631,631,268,32,236,7.15,1.33,2.0,5,1.28,2.0,0.322,0.5731,0.8676,0.4133,0.9906,1.7377
-25.6,-48.2,1.67,0.299426,0.101752,0.596691,619,625,270,37,233,7.06,1.34,2.0,5,1.3,2.0,0.3327,0.5903,0.8306,0.4315,1.0896,1.7979
-25.6,-48.0,2.06,0.281381,0.101261,0.571427,604,597,278,42,236,7.15,1.44,2.25,6,1.37,2.0,0.346,0.6305,0.8322,0.4729,1.1814,1.9322
-25.6,-47.8,2.27,0.264722,0.10065,0.548336,604,588,286,48,238,7.21,1.51,3.0,8,1.43,2.15,0.3565,0.6851,0.8281,0.5056,1.3186,2.9292
-25.4,-48.0,1.89,0.295627,0.101044,0.590252,605,617,295,39,256,7.76,1.45,3.0,6,1.36,2.0,0.3405,0.6262,0.8146,0.4605,1.1605,1.8988
-25.4,-47.8,2.06,0.278879,0.100596,0.572719,608,602,293,46,247,7.49,1.51,3.0,8,1.41,2.0,0.3428,0.6354,0.8318,0.4791,1.269,1.8506
-25.4,-47.6,2.31,0.262731,0.099648,0.551879,602,583,298,52,246,7.46,1.54,3.0,7,1.45,3.0,0.3535,0.6751,0.8188,0.5036,1.3491,1.9502
-25.2,-47.8,1.85,0.295915,0.100738,0.593444,591,617,294,45,249,7.55,1.49,3.0,6,1.39,2.6,0.3355,0.6248,0.8015,0.4663,1.1454,1.8422
