hs_percentile,ssh_percentile,n_accepted_episodes,n_accepted_matched,n_accepted_unmatched,n_points_with_episodes,n_points,H,M,U,R_pos,B,F_soft,term_fsoft_raw,Score,degenerate,episodes_per_positive,min_thr_hs_abs,median_thr_hs_abs,median_thr_zos_abs
85,95,1179,30,1149,12,12,35,112,2092,0.238095,0.2933,1598.4719,10.87395850340136,-2.090603,False,8.0204,1.23,1.865,0.3505
85,99,367,14,353,12,12,16,131,600,0.108844,0.085,457.9617,3.1153857142857144,-0.574762,False,2.4966,1.23,1.865,0.5023
90,50,1405,25,1380,12,12,31,116,2647,0.210884,0.3693,1905.622,12.963414965986395,-2.540019,False,9.5578,1.34,2.01,0.0796
90,55,1405,25,1380,12,12,31,116,2647,0.210884,0.3693,1911.3049,13.002074149659865,-2.547751,False,9.5578,1.34,2.01,0.096
90,60,1406,25,1381,12,12,31,116,2648,0.210884,0.3695,1918.6428,13.051991836734695,-2.557762,False,9.5646,1.34,2.01,0.1141
90,65,1406,25,1381,12,12,31,116,2648,0.210884,0.3695,1927.5371,13.112497278911565,-2.569864,False,9.5646,1.34,2.01,0.1318
90,70,1412,25,1387,12,12,31,116,2656,0.210884,0.3706,1946.6583,13.242573469387755,-2.596099,False,9.6054,1.34,2.01,0.1509
90,75,1409,26,1383,12,12,31,116,2641,0.210884,0.3685,1948.3526,13.25409931972789,-2.597991,False,9.585,1.34,2.01,0.1729
90,80,1387,27,1360,12,12,31,116,2585,0.210884,0.3608,1922.2113,13.076267346938774,-2.56088,False,9.4354,1.34,2.01,0.1985
90,85,1350,27,1323,12,12,31,116,2483,0.210884,0.3467,1865.0712,12.68755918367347,-2.480325,False,9.1837,1.34,2.01,0.2312
90,90,1224,25,1199,12,12,28,119,2214,0.190476,0.3092,1681.237,11.436986394557824,-2.234953,False,8.3265,1.34,2.01,0.2765
90,95,938,22,916,12,12,26,121,1614,0.176871,0.2262,1245.0077,8.469440136054423,-1.633002,False,6.381,1.34,2.01,0.3505
90,99,296,9,287,12,12,10,137,459,0.068027,0.0647,350.797,2.386374149659864,-0.449395,False,2.0136,1.34,2.01,0.5023
95,50,797,18,779,12,12,23,124,1458,0.156463,0.2043,1061.5747,7.221596598639455,-1.391292,False,5.4218,1.49,2.245,0.0796
95,55,797,18,779,12,12,23,124,1458,0.156463,0.2043,1064.4007,7.240821088435373,-1.395137,False,5.4218,1.49,2.245,0.096
95,60,797,18,779,12,12,23,124,1458,0.156463,0.2043,1068.4668,7.268481632653061,-1.400669,False,5.4218,1.49,2.245,0.1141
95,65,797,18,779,12,12,23,124,1458,0.156463,0.2043,1073.1663,7.300451020408164,-1.407063,False,5.4218,1.49,2.245,0.1318
95,70,800,18,782,12,12,23,124,1462,0.156463,0.2048,1082.354,7.362952380952382,-1.419674,False,5.4422,1.49,2.245,0.1509
95,75,801,19,782,12,12,23,124,1461,0.156463,0.2047,1088.8269,7.406985714285715,-1.428453,False,5.449,1.49,2.245,0.1729
95,80,787,19,768,12,12,23,124,1429,0.156463,0.2003,1072.7879,7.2978768707483,-1.405748,False,5.3537,1.49,2.245,0.1985
95,85,765,19,746,12,12,23,124,1376,0.156463,0.1929,1043.5012,7.098647619047618,-1.364441,False,5.2041,1.49,2.245,0.2312
95,90,701,17,684,12,12,20,127,1242,0.136054,0.174,952.4441,6.47921156462585,-1.249019,False,4.7687,1.49,2.245,0.2765
95,95,537,16,521,12,12,19,128,892,0.129252,0.1256,694.6701,4.725646938775511,-0.892706,False,3.6531,1.49,2.245,0.3505
95,99,195,8,187,12,12,9,138,298,0.061224,0.0423,231.3635,1.5739013605442176,-0.286514,False,1.3265,1.49,2.245,0.5023
99,50,143,9,134,12,12,10,137,232,0.068027,0.0334,170.4583,1.1595802721088435,-0.197775,True,0.9728,1.85,2.755,0.0796
99,55,143,9,134,12,12,10,137,232,0.068027,0.0334,170.8511,1.162252380952381,-0.198309,True,0.9728,1.85,2.755,0.096
99,60,143,9,134,12,12,10,137,232,0.068027,0.0334,171.3418,1.1655904761904763,-0.198977,True,0.9728,1.85,2.755,0.1141
99,65,143,9,134,12,12,10,137,232,0.068027,0.0334,172.0449,1.1703734693877552,-0.199933,True,0.9728,1.85,2.755,0.1318
99,70,143,9,134,12,12,10,137,232,0.068027,0.0334,173.3226,1.179065306122449,-0.201672,True,0.9728,1.85,2.755,0.1509
99,75,143,9,134,12,12,10,137,232,0.068027,0.0334,174.5631,1.187504081632653,-0.20336,True,0.9728,1.85,2.755,0.1729
99,80,142,9,133,12,12,10,137,231,0.068027,0.0332,175.4553,1.193573469387755,-0.204546,True,0.966,1.85,2.755,0.1985
99,85,138,9,129,12,12,10,137,215,0.068027,0.031,164.0941,1.1162863945578232,-0.188647,True,0.9388,1.85,2.755,0.2312
99,90,127,7,120,12,12,7,140,200,0.047619,0.0285,155.6812,1.0590557823129252,-0.188949,True,0.8639,1.85,2.755,0.2765
99,95,100,6,94,11,12,6,141,139,0.040816,0.02,109.4617,0.7446374149659863,-0.128437,True,0.6803,1.85,2.755,0.3505
99,99,40,5,35,8,12,5,142,46,0.034014,0.007,36.4757,0.2481340136054422,-0.030625,True,0.2721,1.85,2.755,0.5023
