grid_lat,grid_lon,n_compound_events_days,A_absolute_total_level_m,B_excess_over_local_datum_m,C_dimensionless_tidal_phase,D_surge_anomaly_only_m,latitude_band,abs_lat
-28.6,-48.8,513,1.2151869563752564,0.8902094452077303,-0.019209233219751515,0.3344394904267517,SC/PR,28.6
-28.6,-48.6,488,1.2177899694039684,0.8900235509469373,-0.017854426307667502,0.25295437701202234,SC/PR,28.6
-28.6,-48.4,494,1.2289097828330542,0.899324743217423,-0.019896041516911253,0.18670467501033577,SC/PR,28.6
-28.4,-48.6,427,1.1545345215960046,0.8197342782183191,-0.017501908435387292,0.29494083489644457,SC/PR,28.4
-28.4,-48.4,496,1.2153293979955055,0.8782109452081064,-0.018504062189962152,0.2151417282356175,SC/PR,28.4
-28.2,-48.6,313,1.1307610315232042,0.7823107105641129,-0.014367353181852005,0.3147044565766997,SC/PR,28.2
-28.2,-48.4,451,1.184078026648834,0.8340794452393796,-0.02187845065546339,0.2440989762544629,SC/PR,28.2
-28.2,-48.2,496,1.2161950491428857,0.8661558888912682,-0.023093070163076962,0.18240996891412262,SC/PR,28.2
-28.0,-48.4,405,1.1807157350395934,0.8134728802059904,-0.019586389082225923,0.2652093886676839,SC/PR,28.0
-28.0,-48.2,478,1.2160170594752457,0.8488289932311205,-0.0238179157272988,0.20138970447868298,SC/PR,28.0
-27.8,-48.4,354,1.1383627911324556,0.7519395907635743,-0.024707866214732685,0.2730905035273457,SC/PR,27.8
-27.8,-48.2,456,1.1998821766785623,0.8131737859658243,-0.0283062201623299,0.21714697273560715,SC/PR,27.8
-27.6,-48.4,306,1.0831550058756585,0.6720778700743429,-0.021042746257711728,0.28334240943535954,SC/PR,27.6
-27.6,-48.2,424,1.1947449137527004,0.7819853116828457,-0.030312242578820054,0.2266954395730193,SC/PR,27.6
-27.6,-48.0,461,1.2231434738412987,0.8153294956461081,-0.03245679933227666,0.17956113229733392,SC/PR,27.6
-27.4,-48.4,240,1.0232832565593222,0.5470592394160728,-0.0050055509347887465,0.26850334169307727,SC/PR,27.4
-27.4,-48.2,380,1.2082565068610407,0.7590146898635124,-0.026529816357751902,0.23210164136479497,SC/PR,27.4
-27.4,-48.0,456,1.2284735241806821,0.7908239761269408,-0.029360337674729446,0.18808981540177205,SC/PR,27.4
-27.2,-48.4,206,1.0730194596483291,0.557115307254988,0.010721992680343764,0.2584976976422404,SC/PR,27.2
-27.2,-48.2,329,1.1780630609728284,0.6850177070833631,-0.02445608024690164,0.2289097191393489,SC/PR,27.2
-27.2,-48.0,438,1.2307736493408956,0.7588149346173082,-0.027773671506413355,0.19336180767843653,SC/PR,27.2
-27.0,-48.4,179,1.1263718172991075,0.5662970468485156,0.00013942203710759897,0.23957942845254146,SC/PR,27.0
-27.0,-48.2,314,1.2187150786257095,0.6822971890306777,-0.013417489015797405,0.22820149003979875,SC/PR,27.0
-26.8,-48.4,235,1.184595272953206,0.5815363029786881,-0.0043845113184186905,0.24763165490778855,SC/PR,26.8
-26.8,-48.2,342,1.244035186169789,0.6643147963268019,-0.016218462379387195,0.23327282778630487,SC/PR,26.8
-26.6,-48.6,205,1.2049912132577199,0.5409063972787159,0.010313933568318858,0.273563780807158,SC/PR,26.6
-26.6,-48.4,260,1.2167183211846992,0.5707035473390266,-0.010088446445886199,0.2533098575439908,SC/PR,26.6
-26.6,-48.2,349,1.2681903883515935,0.644185416370545,-0.01612833005073648,0.2383331735897809,SC/PR,26.6
-26.4,-48.4,284,1.1964557257231694,0.4999916878279666,-0.009858791756485045,0.27050300175419906,SC/PR,26.4
-26.4,-48.2,346,1.2949657242637496,0.6236631791931011,-0.01884185454786196,0.24685784128815422,SC/PR,26.4
-26.2,-48.4,262,1.1935557214870254,0.42623725816152475,-0.008070954784648773,0.2821511781743631,SC/PR,26.2
-26.2,-48.2,361,1.2823109085705142,0.5570299918796878,-0.021700673533402545,0.25977216620983135,SC/PR,26.2
-26.0,-48.4,259,1.226807870465586,0.3958620091260171,-0.007215510697542243,0.29379367778231325,SC/PR,26.0
-26.0,-48.2,340,1.3089796090783443,0.5267844582261408,-0.011429943186287124,0.2783486871722944,SC/PR,26.0
-25.8,-48.2,345,1.3479302100556483,0.5102945498841397,-0.01236685666759884,0.2937860414387791,SC/PR,25.8
-25.8,-48.0,407,1.376477355574068,0.5935607262596452,-0.01587044993672927,0.27272752148860496,SC/PR,25.8
-25.6,-48.4,363,1.330744590275708,0.40048003386777964,-0.013709909168089323,0.3256860502206603,SC/PR,25.6
-25.6,-48.2,366,1.3642959364572833,0.484417749277718,-0.008618230771753289,0.3109208452847049,SC/PR,25.6
-25.6,-48.0,401,1.3953484228647264,0.5707091740167647,-0.015725060304678865,0.2879251724025951,SC/PR,25.6
-25.6,-47.8,438,1.394942660653564,0.6207093909620967,-0.018979949724052165,0.26908128484168675,SC/PR,25.6
-25.4,-48.0,428,1.3889372622228673,0.5401405846334507,-0.014911211640496571,0.3079420714324227,SC/PR,25.4
-25.4,-47.8,444,1.3803741558178049,0.5714364035709484,-0.021436517612379285,0.29059770857512257,SC/PR,25.4
