grid_lat,grid_lon,n_finite_days,hat_m,thr_hs_q50,thr_zos_q50,thr_hs_q55,thr_zos_q55,thr_hs_q60,thr_zos_q60,thr_hs_q65,thr_zos_q65,thr_hs_q70,thr_zos_q70,thr_hs_q75,thr_zos_q75,thr_hs_q80,thr_zos_q80,thr_hs_q85,thr_zos_q85,thr_hs_q90,thr_zos_q90,thr_hs_q95,thr_zos_q95,thr_hs_q99,thr_zos_q99
-29.4,-49.2,12053,0.441797,1.94,0.082349,2.02,0.094665,2.1,0.107357,2.18,0.121804,2.27,0.136997,2.38,0.153788,2.5,0.172647,2.66,0.198735,2.86,0.231666,3.21,0.286324,4.08,0.409275
-29.2,-49.4,12053,0.449673,1.71,0.076004,1.77,0.093083,1.83,0.109987,1.9,0.128399,1.99,0.150126,2.07,0.173381,2.18,0.201018,2.3,0.23537,2.47,0.279629,2.76,0.35611,3.41,0.513148
-29.2,-49.2,12053,0.446082,1.85,0.075294,1.92,0.089721,2.0,0.103947,2.08,0.120203,2.16,0.138192,2.26,0.156597,2.38,0.180153,2.52,0.209837,2.7,0.247735,3.03,0.312167,3.7896,0.452147
-29.2,-49.0,12053,0.443349,1.96,0.086001,2.04,0.096963,2.12,0.109378,2.21,0.121952,2.3,0.13654,2.41,0.151555,2.53,0.170293,2.68,0.194207,2.9,0.224543,3.27,0.277902,4.1448,0.390634
-29.0,-49.4,12053,0.449269,1.47,0.075747,1.53,0.094424,1.58,0.114139,1.64,0.136038,1.71,0.160588,1.78,0.187016,1.87,0.220221,1.98,0.259955,2.12,0.310311,2.37,0.397508,2.96,0.564854
-29.0,-49.2,12053,0.447561,1.71,0.071475,1.77,0.087833,1.84,0.104691,1.91,0.122563,1.99,0.143134,2.07,0.166389,2.18,0.193831,2.3,0.227194,2.48,0.271116,2.77,0.344935,3.46,0.501091
-29.0,-49.0,12053,0.445677,1.85,0.076907,1.92,0.089724,2.0,0.103763,2.07,0.119022,2.16,0.135807,2.25,0.154424,2.37,0.175665,2.51,0.203925,2.72,0.239875,3.07,0.302133,3.84,0.435328
-29.0,-48.8,12053,0.443778,1.96,0.089052,2.03,0.099798,2.11,0.111147,2.2,0.123405,2.29,0.136784,2.4,0.152043,2.52,0.168524,2.68,0.190496,2.92,0.218683,3.31,0.268648,4.16,0.378113
-29.0,-48.6,12053,0.442453,2.03,0.099612,2.11,0.108585,2.2,0.118412,2.28,0.128727,2.38,0.139592,2.5,0.151372,2.63,0.164983,2.81,0.181098,3.06,0.203926,3.494,0.241951,4.44,0.322592
-28.8,-49.0,12053,0.445228,1.66,0.068239,1.72,0.085452,1.79,0.102909,1.86,0.12017,1.94,0.14246,2.03,0.165716,2.13,0.194379,2.27,0.227912,2.468,0.272091,2.78,0.34962,3.44,0.506818
-28.8,-48.8,12053,0.444728,1.85,0.077421,1.92,0.090172,1.99,0.104198,2.07,0.119425,2.15,0.136351,2.25,0.154901,2.37,0.175307,2.52,0.204066,2.74,0.239449,3.12,0.300656,3.89,0.432148
