grid_lat,grid_lon,surge_q90_anomaly_cm,surge_q99_anomaly_cm,springneap_swing_cm,surge_q99_over_swing,zos_seasonal_amplitude_cm,zos_synoptic_residual_std_cm,seasonal_over_synoptic,latitude_band,hs_q99_m,wave_setup_proxy_cm,storm_component_cm,q_storm_over_tide,n_compound_zos,n_compound_ssh_total,rayleigh_R_compound_zos,rayleigh_p_compound_zos,rayleigh_R_compound_ssh_total,rayleigh_p_compound_ssh_total,branch,selected_R,selected_p,selected_locked
-32.0,-51.6,24.334700203700127,53.788241005702055,44.5168424397707,1.2082672098425475,16.951623016300005,17.547698837535382,0.9660311117284311,RS,2.869999885559082,57.39999771118164,111.18823871688369,2.497666784595435,263,240,0.0609580491373749,0.3766926038574855,0.0577993263282307,0.4489782406250177,keep_tide_SSH_total,0.0577993263282307,0.4489782406250177,False
-32.0,-51.4,20.977049898727103,47.73488516770139,41.0128996707499,1.163899298779539,16.244706588107785,15.03432181897386,1.0805081056337622,RS,3.624799995422359,72.49599990844717,120.23088507614857,2.931538273113041,270,247,0.0640492122248756,0.3306468227453566,0.049359683175989,0.5482997562799072,keep_tide_SSH_total,0.049359683175989,0.5482997562799072,False
-32.0,-51.2,16.9188266064931,39.9220958020497,37.625535763800144,1.0610372714070186,14.790933133455283,12.218308539872808,1.2105548886072943,RS,4.170000076293945,83.4000015258789,123.3220973279286,3.277617044501407,268,247,0.0379974933775988,0.6795268203029635,0.0276459963088228,0.8282532000605333,keep_tide_SSH_total,0.0276459963088228,0.8282532000605333,False
-31.8,-51.4,25.40453471991893,54.59504940364232,39.049778413027525,1.39808858391444,17.541043718578138,18.2558587031999,0.9608446254847236,RS,2.869999885559082,57.39999771118164,111.99504711482396,2.868007237589367,264,246,0.0648201027558117,0.3301206902337639,0.0528812202537476,0.5030820624756891,keep_tide_SSH_total,0.0528812202537476,0.5030820624756891,False
-31.8,-51.2,20.980403109893743,47.16267268310534,36.73845883458853,1.2837411851011733,16.42736467965685,14.967195920479291,1.0975579371670845,RS,3.7200000286102295,74.40000057220459,121.56267325530993,3.308866977861932,262,244,0.0530050551443516,0.4794049055548085,0.0231565855830693,0.8775783692598507,keep_tide_SSH_total,0.0231565855830693,0.8775783692598507,False
-31.8,-51.0,15.80638290738065,37.15519930218652,36.90779404714704,1.0067033335756517,14.081777562897235,11.42237674483799,1.2328237701720952,RS,4.234799900054927,84.69599800109854,121.85119730328506,3.3015031228262774,258,236,0.0284547594357372,0.8117740590237843,0.0104891690332074,0.9744217243883028,keep_tide_SSH_total,0.0104891690332074,0.9744217243883028,False
-31.6,-51.2,25.08513230973244,53.138029405412624,36.27539128065109,1.4648506199230409,17.578367462472418,17.855582494305704,0.9844746016030732,RS,2.869999885559082,57.39999771118164,110.53802711659426,3.047190484077675,260,239,0.0317545859834699,0.7697158139862259,0.0325302905103331,0.7768932174871306,keep_tide_SSH_total,0.0325302905103331,0.7768932174871306,False
-31.6,-51.0,19.740483433006368,44.66604557633207,36.44990976899862,1.225408947769781,15.948746479477158,14.052028777878911,1.134978210732397,RS,3.75,75.0,119.66604557633207,3.283027210073108,258,237,0.0485706682471249,0.5445316980875237,0.0199689487998934,0.9099951635935288,keep_tide_SSH_total,0.0199689487998934,0.9099951635935288,False
-31.6,-50.8,13.770298449070795,32.4678277054146,36.57492585480213,0.8877072734011219,12.21676310519704,10.091227468932749,1.2106320210111257,RS,4.309999942779541,86.19999885559082,118.66782656100543,3.2445131134947975,255,234,0.048787929255704,0.5454537608441382,0.0299364849567836,0.8111452378414387,keep_tide_SSH_total,0.0299364849567836,0.8111452378414387,False
-31.4,-50.8,18.36515072063023,41.89526608661226,36.65903089568019,1.1428361596855277,15.085663672503705,13.147145239359768,1.1474478601894824,RS,3.8499999046325684,76.99999809265137,118.89526417926362,3.2432735201757326,229,212,0.0435063821947125,0.6487480632088678,0.0309205307405695,0.8168830837052563,keep_tide_SSH_total,0.0309205307405695,0.8168830837052563,False
-31.4,-50.6,12.69229282940818,28.99900968874885,37.05907613039017,0.7825076261134396,10.654163002286458,9.35916749777563,1.1383665272385186,RS,4.329999923706055,86.5999984741211,115.59900816286995,3.1193170535644676,254,220,0.0331136471423316,0.7572645926474872,0.0226592152782069,0.8934055141512587,keep_tide_SSH_total,0.0226592152782069,0.8934055141512587,False
-31.2,-50.8,22.72236627557608,48.53163653829412,36.435454711318016,1.331989319820912,16.763684107889887,15.95384055586207,1.0507616676493767,RS,3.324799928665157,66.49599857330314,115.02763511159726,3.157024827135367,235,219,0.0659077481196997,0.3606905446019302,0.0389711457023392,0.7175066089694415,keep_tide_SSH_total,0.0389711457023392,0.7175066089694415,False
-31.2,-50.6,16.444201494158524,37.79658641904713,37.06061374396086,1.0198586208034992,13.81179717566125,11.916822017441415,1.1590168213846237,RS,3.640000104904175,72.8000020980835,110.59658851713063,2.984208229286345,249,230,0.055971197099204,0.4588167692104031,0.0324700936041888,0.7850346552235233,keep_tide_SSH_total,0.0324700936041888,0.7850346552235233,False
