municipality_code,municipality_name,state,pop_municipality,dom_municipality,pop_1km,dom_1km,pop_2km,dom_2km,pop_5km,dom_5km,pop_10km,dom_10km
3551009,São Vicente,SP,328987,119483,153353,56968,233982,88205,287734,105136,328987,119483
3548500,Santos,SP,418360,167601,219176,91312,394063,158859,418340,167592,418350,167595
3302007,Itaguaí,RJ,116489,42184,8642,3141,9985,3626,35152,12786,107362,38909
3304904,São Gonçalo,RJ,895560,357758,60032,23701,185489,72991,462290,184142,837612,335005
3301900,Itaboraí,RJ,223854,86473,0,0,0,0,0,0,29916,11572
3301850,Guapimirim,RJ,51557,18454,2400,824,4844,1658,9682,3389,12068,4216
3302502,Magé,RJ,228147,82953,33542,12322,49579,18406,86619,31355,166026,59720
3301702,Duque de Caxias,RJ,807233,297983,15920,5898,54347,20304,333202,125302,649287,241123
3304524,Rio das Ostras,RJ,155775,58858,76240,29420,131769,50115,151172,57227,154030,58213
3300936,Carapebus,RJ,13881,5048,63,28,63,28,210,90,12438,4504
3202801,Itapemirim,ES,39949,14096,13738,5006,17474,6278,27282,9667,31338,11038
3204203,Piúma,ES,21986,8406,15969,6177,20521,7842,21675,8291,21986,8406
3200409,Anchieta,ES,29477,10842,18433,6940,22547,8381,23507,8694,25542,9393
3205200,Vila Velha,ES,464614,176239,205858,82562,359710,141031,452976,174878,456334,176041
3205002,Serra,ES,520895,192329,55195,20636,137402,50949,298639,111187,448882,166361
2914901,Itacaré,BA,27606,9938,9099,3363,13636,4986,16863,6153,17818,6486
2913457,Igrapiúna,BA,12838,4374,1068,389,1916,664,2453,830,7790,2717
2917300,Ituberá,BA,21999,8076,14328,5380,16246,6089,18317,6814,19876,7381
2922607,Nilo Peçanha,BA,12345,4374,3849,1380,4802,1741,5632,2037,6282,2279
2933208,Vera Cruz,BA,42537,16567,17895,6868,35397,13740,42537,16567,42537,16567
2800704,Brejo Grande,SE,7859,2481,0,0,132,30,1442,441,4613,1455
2702702,Feliz Deserto,AL,3958,1328,34,14,2417,810,3462,1171,3487,1181
2707800,Roteiro,AL,6474,1989,0,0,0,0,303,92,6474,1989
2700607,Barra de São Miguel,AL,7934,2539,219,85,2517,849,6367,2072,7931,2537
2706448,Paripueira,AL,13842,4393,571,207,8843,2862,13433,4263,13621,4321
2700508,Barra de Santo Antônio,AL,16348,5241,5880,1915,15619,5018,15699,5041,16300,5227
2706505,Passo de Camaragibe,AL,13661,4184,1471,461,2789,857,4323,1301,5034,1517
2708709,São Miguel dos Milagres,AL,8427,2666,2350,778,8066,2548,8146,2574,8386,2651
2703601,Japaratinga,AL,8944,2794,3045,1015,6998,2204,8339,2598,8944,2794
2613404,São José da Coroa Grande,PE,17956,5859,11560,3869,16764,5491,17655,5760,17834,5817
2614857,Tamandaré,PE,23547,7629,7426,2531,17260,5679,18805,6150,19600,6397
2614204,Sirinhaém,PE,37353,11826,3652,1192,7416,2384,7880,2515,28996,9252
2607208,Ipojuca,PE,98694,33199,11281,3971,15452,5381,49517,16950,61658,21005
