grid_lat,grid_lon,municipality,event_id,date_start,date_end,duration_days,peak_value,peak_date,integrated_intensity
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20020115,2002-01-15,2002-01-16,2,2.54,2002-01-15,0.284
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20020202,2002-02-02,2002-02-04,3,3.24,2002-02-03,2.016
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20020320,2002-03-20,2002-03-23,4,3.17,2002-03-21,1.558
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20020521,2002-05-21,2002-05-22,2,2.91,2002-05-21,0.774
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20020622,2002-06-22,2002-06-22,1,2.4,2002-06-22,0.052
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20020722,2002-07-22,2002-07-22,1,2.69,2002-07-22,0.342
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20020728,2002-07-28,2002-07-28,1,2.41,2002-07-28,0.062
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20020803,2002-08-03,2002-08-04,2,3.33,2002-08-04,1.674
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20020819,2002-08-19,2002-08-20,2,2.49,2002-08-19,0.224
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20020901,2002-09-01,2002-09-03,3,3.35,2002-09-02,2.176
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20020907,2002-09-07,2002-09-12,5,3.33,2002-09-08,2.04
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20020917,2002-09-17,2002-09-20,4,2.92,2002-09-19,1.218
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20021022,2002-10-22,2002-10-22,1,2.69,2002-10-22,0.342
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20030321,2003-03-21,2003-03-22,2,2.79,2003-03-21,0.504
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20030405,2003-04-05,2003-04-06,2,2.6,2003-04-05,0.334
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20030502,2003-05-02,2003-05-03,2,2.5,2003-05-03,0.274
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20030507,2003-05-07,2003-05-09,3,3.12,2003-05-08,1.166
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20030524,2003-05-24,2003-05-27,4,3.15,2003-05-25,2.008
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20030603,2003-06-03,2003-06-05,3,3.16,2003-06-04,1.386
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20030614,2003-06-14,2003-06-14,1,2.36,2003-06-14,0.012
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20030809,2003-08-09,2003-08-10,2,2.53,2003-08-09,0.234
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20030816,2003-08-16,2003-08-19,4,2.73,2003-08-19,0.908
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20030910,2003-09-10,2003-09-10,1,2.44,2003-09-10,0.092
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20030914,2003-09-14,2003-09-17,3,2.5,2003-09-15,0.296
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20031011,2003-10-11,2003-10-11,1,2.36,2003-10-11,0.012
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20031101,2003-11-01,2003-11-02,2,2.55,2003-11-02,0.394
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20031113,2003-11-13,2003-11-16,3,2.95,2003-11-14,1.276
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20031120,2003-11-20,2003-11-20,1,2.36,2003-11-20,0.012
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20031207,2003-12-07,2003-12-09,2,2.42,2003-12-09,0.114
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20031216,2003-12-16,2003-12-17,2,2.65,2003-12-17,0.584
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20040315,2004-03-15,2004-03-18,4,2.79,2004-03-16,1.198
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20040327,2004-03-27,2004-03-28,2,2.8,2004-03-27,0.794
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20040422,2004-04-22,2004-04-22,1,2.51,2004-04-22,0.162
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20040425,2004-04-25,2004-04-25,1,2.52,2004-04-25,0.172
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20040504,2004-05-04,2004-05-09,6,3.61,2004-05-04,4.572
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20040515,2004-05-15,2004-05-16,2,3.32,2004-05-16,1.664
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20040526,2004-05-26,2004-05-28,3,2.91,2004-05-27,0.956
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20040808,2004-08-08,2004-08-08,1,2.35,2004-08-08,0.002
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20040814,2004-08-14,2004-08-15,2,2.59,2004-08-14,0.434
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20040831,2004-08-31,2004-08-31,1,2.38,2004-08-31,0.032
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20040913,2004-09-13,2004-09-14,2,2.45,2004-09-14,0.174
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20040929,2004-09-29,2004-09-30,2,2.52,2004-09-30,0.174
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20041008,2004-10-08,2004-10-09,2,2.51,2004-10-08,0.294
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20041012,2004-10-12,2004-10-13,2,2.59,2004-10-13,0.304
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20041016,2004-10-16,2004-10-16,1,2.37,2004-10-16,0.022
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20041023,2004-10-23,2004-10-24,2,2.65,2004-10-23,0.384
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20041112,2004-11-12,2004-11-16,5,3.67,2004-11-14,4.78
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20041203,2004-12-03,2004-12-04,2,2.51,2004-12-03,0.214
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20041209,2004-12-09,2004-12-10,2,2.64,2004-12-10,0.394
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20050125,2005-01-25,2005-01-26,2,2.6,2005-01-25,0.384
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20050130,2005-01-30,2005-02-03,4,2.63,2005-02-02,0.468
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20050214,2005-02-14,2005-02-15,2,2.79,2005-02-14,0.704
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20050425,2005-04-25,2005-04-26,2,3.22,2005-04-25,1.714
-29.399999618530273,-49.600006103515625,Passo de Torres,hs_-29.40_-49.60_20050508,2005-05-08,2005-05-09,2,2.39,2005-05-08,0.064
